Compound,Chemical Formula,Compounds - proteins that bind compound,Compounds - enzymes activated or inhibited,Pathways of compound,Reactions that consume compound,Reactions that produce compound,SMILES,MW
SUC-COA,C25H35N7O19P3S,NA,PKI-COMPLEX,PROPIONMET-PWY // PWY0-43 // PWY-5084 // TCA // TCA-GLYOX-BYPASS // GLYCOLYSIS-TCA-GLYOX-BYPASS // PWY0-321 // PWY-6071 // AST-PWY // HOMOSER-METSYN-PWY // METSYN-PWY // MET-SAM-PWY // DAPLYSINESYN-PWY // P4-PWY // PWY0-781,RXN0-1147 // RXN-3641 // ARGININE-N-SUCCINYLTRANSFERASE-RXN // HOMSUCTRAN-RXN // TETHYDPICSUCC-RXN,2OXOGLUTARATEDEH-RXN // RXN0-268 // METHYLMALONYL-COA-MUT-RXN // SUCCCOASYN-RXN,CC(C)(C(O)C(=O)NCCC(=O)NCCSC(=O)CCC(=O)[O-])COP(=O)(OP(=O)(OCC1(C(OP([O-])(=O)[O-])C(O)C(O1)N3(C2(=C(C(N)=NC=N2)N=C3))))[O-])[O-],867.1312524
CPD-12454,C25H36N7O19P3S,NA,NA,NA,NA,NA,CC(C)(C(O)C(=O)NCCC(=O)NCCSC(=O)CC(=O)OC)COP(=O)(OP(=O)(OCC1(C(OP([O-])(=O)[O-])C(O)C(O1)N3(C2(=C(C(N)=NC=N2)N=C3))))[O-])[O-],867.1312524
DIHYDROSIROHYDROCHLORIN,C42H41N4O16,NA,NA,PWY-5194,DIMETHUROPORDEHYDROG-RXN,RXN-13403 // RXN-8675,CC5(CC(=O)[O-])(C(C4(=CC1(NC(=C(CCC(=O)[O-])C(CC(=O)[O-])=1)CC2(=C(CCC(=O)[O-])C(CC(=O)[O-])=C(N2)C=C3(C(C)(CC(=O)[O-])C(CCC(=O)[O-])C(=N3)C=C([N+]4)5)))))CCC(=O)[O-]),865.3143565
HEXANOYL-COA,C27H42N7O17P3S,PD01520,NA,NA,NA,NA,CCCCCC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(OP(=O)(OCC1(C(OP([O-])(=O)[O-])C(O)C(O1)N3(C2(=C(C(N)=NC=N2)N=C3))))[O-])[O-],865.1883733
CPD0-2121,C27H40N7O17P3S,NA,NA,NA,NA,NA,CCCC=CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(OP(=O)(OCC1(C(OP([O-])(=O)[O-])C(O)C(O1)N3(C2(=C(C(N)=NC=N2)N=C3))))[O-])[O-],863.1727232
UBIQUINONE-10,C59H90O4,NA,NA,NA,NA,NA,CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCC1(C(C(OC)=C(OC)C(=O)C(C)=1)=O),862.6839114
SIROHYDROCHLORIN,C42H38N4O16,NA,NA,PWY-5194,SIROHEME-FERROCHELAT-RXN,DIMETHUROPORDEHYDROG-RXN,CC2(CC(=O)[O-])(C1(=CC5(=NC(=CC4(NC(C=C3(N=C(C=C(N1)C(CCC(=O)[O-])2)C(CC(=O)[O-])=C(CCC(=O)[O-])3))=C(CCC(=O)[O-])C(CC(=O)[O-])=4))C(C)(CC(=O)[O-])C(CCC(=O)[O-])5))),862.2908815
CPD-9452,C50H81O7P2,NA,NA,NA,NA,NA,CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCOP([O-])(=O)OP([O-])(=O)[O-],858.5692281
CPD-11984,C50H81O7P2,NA,NA,NA,NA,NA,CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCOP([O-])(=O)OP([O-])(=O)[O-],858.5692281
CPD-12820,C42H81O13P2,NA,NA,NA,NA,NA,CCCCCCCCCCCCCCCCCC(=O)OCC(COP([O-])(OCC(O)COP(=O)([O-])[O-])=O)OC(=O)CCCCCCCCCCCCCCCCC,858.5387158
CPD-18400,C42H77O13P2,NA,NA,NA,NA,NA,CCCCCCC=CCCCCCCCCCC(=O)OCC(OC(CCCCCCCCCC=CCCCCCC)=O)COP([O-])(=O)OCC(O)COP([O-])(=O)[O-],854.5074157
HYDROXYMETHYLBILANE,C40H38N4O17,NA,NA,PWY-5188,RXN-14396 // UROGENIIISYN-RXN,OHMETHYLBILANESYN-RXN,C(O)C1(NC(=C(CCC(=O)[O-])C(CC(=O)[O-])=1)CC2(=C(CC(=O)[O-])C(CCC(=O)[O-])=C(N2)CC4(=C(CC([O-])=O)C(CCC(=O)[O-])=C(CC3(=C(CC([O-])=O)C(CCC(=O)[O-])=CN3))N4))),854.2857961
CPD-650,C25H38N7O18P3S,PD01520,NA,NA,RXN1-42 // RXN-14255 // 3-HYDROXBUTYRYL-COA-DEHYDRATASE-RXN,NA,CC(CC(SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(OP(=O)(OCC1(C(OP([O-])(=O)[O-])C(O)C(O1)N3(C2(=C(C(N)=NC=N2)N=C3))))[O-])[O-])=O)O,853.1519878
S-3-HYDROXYBUTANOYL-COA,C25H38N7O18P3S,PD01520,NA,NA,RXN-14251,NA,CC(CC(SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(OP(=O)(OCC1(C(OP([O-])(=O)[O-])C(O)C(O1)N3(C2(=C(C(N)=NC=N2)N=C3))))[O-])[O-])=O)O,853.1519878
MALONYL-COA,C24H33N7O19P3S,NA,NA,PWY0-1264 // PWY-4381 // FASYN-INITIAL-PWY // PWY0-881,MALONYL-COA-ACP-TRANSACYL-RXN,RXN0-5055 // ACETYL-COA-CARBOXYLTRANSFER-RXN,CC(C)(C(O)C(=O)NCCC(=O)NCCSC(=O)CC(=O)[O-])COP(=O)(OP(=O)(OCC1(C(OP([O-])(=O)[O-])C(O)C(O1)N3(C2(=C(C(N)=NC=N2)N=C3))))[O-])[O-],853.1156023
ISOVALERYL-COA,C26H40N7O17P3S,NA,NA,NA,RXN0-2301,NA,CC(CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(OP(=O)(OCC1(C(OP([O-])(=O)[O-])C(O)C(O1)N3(C2(=C(C(N)=NC=N2)N=C3))))[O-])[O-])C,851.1727232
ACETOACETYL-COA,C25H36N7O18P3S,PD01520,ACETYL-COA-ACETYLTRANSFER-CPLX,ACETOACETATE-DEG-PWY,NA,ACETYL-COA-ACETYLTRANSFER-RXN // ACETOACETYL-COA-TRANSFER-RXN,CC(=O)CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(OP(=O)(OCC1(C(OP([O-])(=O)[O-])C(O)C(O1)N3(C2(=C(C(N)=NC=N2)N=C3))))[O-])[O-],851.1363377
CPD0-2155,C34H54N6O19,NA,NA,NA,NA,NA,CC(C(NC(CCC(O)=O)C(NC(CCCC(C(=O)O)N)C(O)=O)=O)=O)NC(=O)C(C)OC2(C(OC1(OC(CO)C(O)C(O)C(NC(C)=O)1))C(CO)OC=C(NC(C)=O)2),850.3443736
CPD-9038,C41H38N4O16,NA,NA,PWY-5194,RXN-8675,UROPORIIIMETHYLTRANSA-RXN,CC3(C4(=CC5(=C(C(CCC([O-])=O)=C(CC1(=C(CCC([O-])=O)C(CC(=O)[O-])=C(N1)CC2(NC(=C(CC([O-])=O)C=2CCC([O-])=O)CC(C3CCC(=O)[O-])=N4)))N5)CC([O-])=O)))(CC([O-])=O),850.2908815
CPD0-1407,C27H29N8O18P3,NA,CPLX0-7659 // CPLX0-7659,NA,NA,NA,C6(N(C1(OC(C(C1O)O)COP(OP(OCC4(C(C(C(N3(C2(=C(C(=NC=N2)N)N=C3)))O4)OP([O-])([O-])=O)O))([O-])=O)(=O)[O-]))C=C(C(C(=O)C5(C=CN=CC=5))C=6)C(=O)N),850.1125658
3-METHYL-CROTONYL-COA,C26H38N7O17P3S,NA,NA,NA,NA,RXN0-2301,CC(=CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(OP(=O)(OCC1(C(OP([O-])(=O)[O-])C(O)C(O1)N3(C2(=C(C(N)=NC=N2)N=C3))))[O-])[O-])C,849.1570732
UNDECAPRENYL-P,C55H89O4P,NA,NA,NA,NA,NA,CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCOP([O-])([O-])=O,846.6654979
CPD-9646,C55H89O4P,NA,NA,PWY-5785 // POLYISOPRENSYN-PWY // PWY0-1338 // ECASYN-PWY // PEPTIDOGLYCANSYN-PWY,RXN-11791 // RXN0-3521 // GLCNACPTRANS-RXN // PHOSNACMURPENTATRANS-RXN,RXN0-2001 // RXN-16281 // RXN0-5383 // UNDECAPRENYL-DIPHOSPHATASE-RXN,CC(=CCCC(=CCCC(=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCOP(=O)([O-])[O-])C)C)C,846.6654979
OXALYL-COA,C23H31N7O19P3S,NA,NA,NA,OXALYL-COA-DECARBOXYLASE-RXN,RXN0-7075 // RXN0-1382,CC(C)(C(O)C(=O)NCCC(=O)NCCSC(=O)C([O-])=O)COP(=O)(OP(=O)(OCC1(C(OP([O-])(=O)[O-])C(O)C(O1)N3(C2(=C(C(N)=NC=N2)N=C3))))[O-])[O-],839.0999522
CPD-17063,C49H56N4O5Fe,NA,NA,NA,NA,HEMEOSYN-RXN,C=CC4(=C(C)C8(=[N+]5([Fe--]26([N+]1(=C(C(C)=C(CCC(=O)[O-])C1=CC3(N2C(=C(C)C(CCC(=O)[O-])=3)C=C45))C=C7(C(C)=C(C(O)CCC=C(CCC=C(C)CCC=C(C)C)C)C(N67)=C8)))))),838.3756631
BUTYRYL-COA,C25H38N7O17P3S,PD01520,NA,NA,NA,NA,CCCC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(OP(=O)(OCC1(C(OP([O-])(=O)[O-])C(O)C(O1)N3(C2(=C(C(N)=NC=N2)N=C3))))[O-])[O-],837.1570732
UROPORPHYRINOGEN-III,C40H36N4O16,NA,NA,PWY-5188 // PWY-5194 // HEMESYN2-PWY // PWY0-1415 // HEME-BIOSYNTHESIS-II,RXN-13403 // UROPORIIIMETHYLTRANSA-RXN // UROGENDECARBOX-RXN,UROGENIIISYN-RXN,C(=O)([O-])CCC3(C(=C2(CC5(NC(CC4(NC(CC1(NC(=C(C=1CC(=O)[O-])CCC(=O)[O-])CC(N2)=3))=C(CC(=O)[O-])C=4CCC(=O)[O-]))=C(CC([O-])=O)C(CCC(=O)[O-])=5)))CC(=O)[O-]),836.2752314
CPD-11444,C40H36N4O16,NA,NA,NA,NA,RXN-14396,C(=O)([O-])CCC5(=C4(NC(CC1(NC(=C(CC([O-])=O)C(CCC(=O)[O-])=1)CC2(NC(=C(C(CCC(=O)[O-])=2)CC(=O)[O-])CC3(=C(CCC([O-])=O)C(CC(=O)[O-])=C(N3)C4))))=C(CC(=O)[O-])5)),836.2752314
ADENOSYL-P4,C20H24N10O19P4,NA,NA,NA,3.6.1.41-RXN,RXN0-5208,C(C1(C(C(C(O1)N3(C=NC2(C(=NC=NC=23)N)))O)O))OP(OP(OP(OP(OCC4(C(C(C(O4)N6(C=NC5(C(=NC=NC=56)N)))O)O))([O-])=O)([O-])=O)([O-])=O)([O-])=O,836.0482648
CROTONYL-COA,C25H36N7O17P3S,NA,NA,NA,NA,3-HYDROXBUTYRYL-COA-DEHYDRATASE-RXN,CC=CC(SCCNC(CCNC(C(C(COP(=O)([O-])OP(OCC1(OC(C(C1OP([O-])([O-])=O)O)N3(C=NC2(C(=NC=NC=23)N))))([O-])=O)(C)C)O)=O)=O)=O,835.1414231
UDP-OHMYR-ACETYLGLUCOSAMINE,C31H51N3O19P2,NA,NA,NAGLIPASYN-PWY // LPSSYN-PWY // KDO-NAGLIPASYN-PWY,UDPACYLGLCNACDEACETYL-RXN,UDPNACETYLGLUCOSAMACYLTRANS-RXN,CCCCCCCCCCCC(CC(OC3(C(C(OP(=O)([O-])OP(=O)([O-])OCC1(OC(C(O)C(O)1)N2(C=CC(=O)NC(=O)2)))OC(C3O)CO)NC(=O)C))=O)O,833.2748496
CPD-19298,C32H54N4O21,NA,NA,NA,NA,NA,CC(=O)NC4(C(O)C(OC1(C(NC(C)=O)C(O)C(C(CO)O1)OC2(C(NC(C)=O)C(O)C(C(CO)O2)OC3(OC(C(O)C(O)C(NC(C)=O)3)CO))))C(CO)OC4O),830.3280548
UROPORPHYRIN_III,C40H30N4O16,NA,NA,NA,NA,NA,C([O-])(=O)CCC1(=C(CC([O-])=O)C2(N=C1C=C5(NC(=CC4(C(CCC([O-])=O)=C(CC([O-])=O)C(=CC3(=C(CCC([O-])=O)C(CC([O-])=O)=C(C=2)N3))N=4))C(CC([O-])=O)=C(CCC([O-])=O)5))),830.2282812
CPD-18360,C40H75O13P2,NA,NA,NA,NA,NA,CCCCCCC=CCCCCCCCCCC(OC(COC(=O)CCCCCCCCCCCCCCC)COP([O-])(=O)OCC(O)COP([O-])(=O)[O-])=O,828.4917656
MALTOPENTAOSE,C30H52O26,NA,NA,NA,RXN-14260 // RXN-14281 // RXN-14284,RXN-14261 // RXN-14282 // RXN-14285,C(C5(OC(OC4(C(OC(OC1(C(OC(C(C1O)O)OC2(C(OC(C(C2O)O)OC3(C(OC(C(C3O)O)O)CO))CO))CO))C(C4O)O)CO))C(C(C5O)O)O))O,828.2746818
CPD0-1882,C19H22N8O15P2S2Mo,NA,NA,PWY-6476,NA,RXN0-6254,C(C2(C(C(C(N1(C(N=C(C=C1)N)=O))O2)O)O))OP([O-])(=O)OP([O-])(=O)OCC4(O[CH]3(NC6(N=C(NC(=O)C(N[CH]3C5(=C4S[Mo](=O)(=O)S5))=6)N))),827.9331843
CPD-18399,C40H73O13P2,NA,NA,NA,NA,NA,CCCCCCC=CCCCCCCCCCC(=O)OCC(OC(CCCCCCCC=CCCCCCC)=O)COP([O-])(=O)OCC(O)COP([O-])(=O)[O-],826.4761155
CPD0-1673,C23H33N7O18P3S,NA,CITRATE-SI-SYNTHASE,NA,NA,NA,CC(C)(C(O)C(=O)NCCC(=O)NCCSCC([O-])=O)COP(=O)(OP(=O)(OCC1(OC(C(C1OP([O-])(=O)[O-])O)N3(C2(=C(C(N)=NC=N2)N=C3))))[O-])[O-],825.1206877
CPD-18727,C43H58N4O12,NA,NA,NA,NA,NA,CC3(C(O)C(C)C(O)C(C)C(OC(=O)C)C(C)C(OC)C=COC1(C)(OC5(C(C(=O)1)=C4(C(O)=C(C=NN2(CC[N+](C)CC2))C(NC(=O)C(C)=CC=C3)=C(O)C4=C([O-])C(C)=5)))),823.4129484
PROPIONYL-COA,C24H36N7O17P3S,PD01520,CITRATE-SI-SYNTHASE,PWY0-42 // PWY0-43 // PWY-5437 // THREOCAT-PWY // PROPIONMET-PWY,HYDGLUTSYN-RXN // RXN-9087 // 2-METHYLCITRATE-SYNTHASE-RXN // RXN0-268 // PTAALT-RXN // PROPIONYL-COA-CARBOXY-RXN,PROPIONATE--COA-LIGASE-RXN // RXN0-310 // KETOBUTFORMLY-RXN,CCC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(OP(=O)(OCC1(C(OP([O-])(=O)[O-])C(O)C(O1)N3(C2(=C(C(N)=NC=N2)N=C3))))[O-])[O-],823.1414231
CPD0-621,C35H53N6O13Fe,NA,NA,NA,TRANS-RXN-297 // RXN0-1702,TRANS-RXN-297 // RXN0-1702,CC(CCO)=CC4(=O[Fe]1235(O=C(C=C(C)CCO)N(O1)CCC(NC(C)=O)CC(=O)OCCC(C)=CC(=O2)N(O3)CCCC6(NC(=O)C(CCCN4O5)NC(=O)6))),821.3020029
ACRYLYL-COA,C24H34N7O17P3S,NA,NA,NA,NA,RXN-9087,C=CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(OP(=O)(OCC1(C(OP([O-])(=O)[O-])C(O)C(O1)N3(C2(=C(C(N)=NC=N2)N=C3))))[O-])[O-],821.1257731
ACETYL-COA,C23H34N7O17P3S,NA,ACETOACETYL-COA-TRANSFER-CPLX // CPLX0-1142 // MALIC-NAD-CPLX // MALIC-NADP-CPLX // PHOSPHOGLUCMUT-MONOMER // PEPCARBOX-CPLX // MALONYL-COA-ACP-TRANSACYL-MONOMER // CITRATE-SI-SYNTHASE,PWY0-1313 // PWY-7180 // PWY0-1298 // PWY0-1297 // PWY-5162 // PWY0-1277 // PWY-5436 // ETOH-ACETYLCOA-ANA-PWY // PYRUVDEHYD-PWY // PWY0-1264 // THREONINE-DEG2-PWY // THREOCAT-PWY // PWY0-1569 // PWY-4381 // PWY-7805 // FAO-PWY // LEUSYN-PWY // BRANCHED-CHAIN-AA-SYN-PWY // TCA // GLYOXDEG-PWY // GLYCOL-GLYOXDEG-PWY // GLYOXYLATE-BYPASS // TCA-GLYOX-BYPASS // GLYCOLYSIS-TCA-GLYOX-BYPASS // PWY0-321 // PWY-6071 // PWY0-1261 // UDPNAGSYN-PWY // OANTIGEN-PWY // ACETOACETATE-DEG-PWY // PWY-7315 // ECASYN-PWY // PWY-7870 // CYSTSYN-PWY // SULFATE-CYS-PWY // FERMENTATION-PWY // PWY0-1312 // ACETATEUTIL-PWY // GLUTORN-PWY // ARGSYN-PWY // ARG+POLYAMINE-SYN // PWY-5966 // FASYN-INITIAL-PWY // PWY0-881,RXN0-1133 // RXN0-5055 // RXN-18434 // 2.3.1.128-RXN // RXN-17962 // RXN-17961 // RXN-17960 // RXN-17799 // RXN-17795 // RXN-17791 // RXN-17787 // RXN-17782 // RXN-17778 // RXN0-6512 // AKBLIG-RXN // RXN0-7165 // RXN0-7160 // RXN-15943 // RXN0-5418 // RXN0-7075 // RXN-14394 // 2.3.1.180-RXN // ARYLAMINE-N-ACETYLTRANSFERASE-RXN // DIHYDLIPACETRANS-RXN // RXN0-7014 // RXN0-6948 // ACETYL-COA-CARBOXYLTRANSFER-RXN // KETOACYLCOATHIOL-RXN // RXN0-5231 // 2-ISOPROPYLMALATESYN-RXN // CITSYN-RXN // MALSYN-RXN // RXN-3641 // ACETYL-COA-ACETYLTRANSFER-RXN // PYRUVFORMLY-RXN // 2.3.1.118-RXN // SPERMACTRAN-RXN // 2.3.1.157-RXN // ACETOACETYL-COA-TRANSFER-RXN // TDPFUCACTRANS-RXN // SERINE-O-ACETTRAN-RXN // PHOSACETYLTRANS-RXN // N-ACETYLTRANSFER-RXN // MALTACETYLTRAN-RXN // GALACTOACETYLTRAN-RXN // DIAMACTRANS-RXN // ACP-S-ACETYLTRANSFER-RXN,PYFLAVOXRE-RXN // ACECOATRANS-RXN // PYRUFLAVREDUCT-RXN // PYRUVDEH-RXN // ACETALD-DEHYDROG-RXN // ACETATE--COA-LIGASE-RXN,CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(OP(=O)(OCC1(C(OP([O-])(=O)[O-])C(O)C(O1)N3(C2(=C(C(N)=NC=N2)N=C3))))[O-])[O-],809.1257731
CPD-10016,C44H69NO12,NA,CPLX0-3924,NA,NA,NA,C=CCC3(C(=O)CC(O)C(C(C(C)=CC1(CCC(O)C(OC)C1))OC(=O)C2(CCCCN2C(=O)C(=O)C4(O)(OC(C(OC)CC(C)CC(C)=C3)C(OC)CC(C)4)))C),803.4819767
CPD0-2217,C44H82O10P,NA,NA,NA,NA,NA,CCCCCCC1(CC1CCCCCCCCCC(=O)OCC(COP([O-])(=O)OCC(O)CO)OC(CCCCCCCCCC2(CC(CCCCCC)2))=O),802.5723854
CPD-12821,C38H73O13P2,NA,NA,NA,NA,NA,CCCCCCCCCCCCCCCC(=O)OCC(COP(OCC(O)COP(=O)([O-])[O-])([O-])=O)OC(=O)CCCCCCCCCCCCCCC,802.4761155
CPD-18359,C38H71O13P2,NA,NA,NA,NA,NA,CCCCCCCCCCCCCCCC(OCC(OC(=O)CCCCCCCC=CCCCCCC)COP([O-])(=O)OCC(O)COP([O-])(=O)[O-])=O,800.4604655
CPD0-2230,C38H69O13P2,NA,NA,NA,NA,NA,CCCCCCC=CCCCCCCCC(OCC(COP([O-])(=O)OCC(COP([O-])(=O)[O-])O)OC(=O)CCCCCCCC=CCCCCCC)=O,798.4448154
FORMYL-COA,C22H32N7O17P3S,NA,NA,NA,RXN0-1382,OXALYL-COA-DECARBOXYLASE-RXN,CC(C)(C(O)C(=O)NCCC(=O)NCCS[CH]=O)COP(=O)(OP(=O)(OCC1(C(OP([O-])(=O)[O-])C(O)C(O1)N3(C2(=C(C(N)=NC=N2)N=C3))))[O-])[O-],795.110123
CPD-12816,C42H81NO10P,NA,NA,NA,NA,NA,CCCCCCCCCCCCCCCCCC(=O)OCC(COP(OCC([N+])C(=O)[O-])([O-])=O)OC(=O)CCCCCCCCCCCCCCCCC,792.5754594
CPD0-2194,C42H80O11P,NA,NA,NA,NA,NA,CCCCCCCCCCCC(=O)OCC(COP([O-])(=O)OCC(COC(CCCCCCCCCCC)=O)OC(CCCCCCCCCCC)=O)O,792.55165
UDP-OHMYR-GLUCOSAMINE,C29H50N3O18P2,NA,NA,NAGLIPASYN-PWY // LPSSYN-PWY // KDO-NAGLIPASYN-PWY,UDPHYDROXYMYRGLUCOSAMNACETYLTRANS-RXN,UDPACYLGLCNACDEACETYL-RXN,CCCCCCCCCCCC(CC(OC3(C(C(OP(=O)([O-])OP(=O)([O-])OCC1(OC(C(O)C(O)1)N2(C=CC(=O)NC(=O)2)))OC(C3O)CO)[N+]))=O)O,792.2721099
L-1-LECITHIN,C44H88NO8P,NA,NA,NA,NA,NA,CCCCCCCCCCCCCCCCCC(OCC(OC(CCCCCCCCCCCCCCCCC)=O)COP(OCC[N+](C)(C)C)([O-])=O)=O,790.6325803
SOLANESYL-PYROPHOSPHATE,C45H73O7P2,NA,NA,NA,NA,NA,CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCOP(=O)([O-])OP(=O)([O-])[O-],790.5066278
CPD-9453,C45H73O7P2,NA,NA,NA,NA,NA,CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCOP([O-])(=O)OP([O-])(=O)[O-],790.5066278
CPD-18366,C42H77NO10P,NA,NA,NA,NA,NA,CCCCCCC=CCCCCCCCCCC(OCC(OC(=O)CCCCCCCCCC=CCCCCCC)COP([O-])(=O)OCC(C(=O)[O-])[N+])=O,788.5441593
FADH2,C27H33N9O15P2,NA,NA,PWY-7892,RXN-8506,RXN0-7081 // 1.2.99.7-RXN,CC1(=C(C)C=C2(N(C3(NC(NC(=O)C(NC(=C1)2)=3)=O))CC(O)C(O)C(O)COP(OP([O-])(OCC6(C(O)C(O)C(N5(C=NC4(C(N)=NC=NC=45)))O6))=O)([O-])=O)),787.1727845
FAD,C27H30N9O15P2,NA,FMNREDUCT-MONOMER,RIBOSYN2-PWY // PWY-7892,RXN0-7081 // RXN-14461 // TRANS-RXN-272 // 1.2.99.7-RXN,RXN-8506 // TRANS-RXN-272 // FADSYN-RXN,CC6(=C(C)C=C5(C(N=C1(C(=O)[N-]C(=O)N=C1N(CC(C(O)C(O)COP(OP([O-])(OCC4(C(O)C(O)C(N3(C=NC2(C(N)=NC=NC=23)))O4))=O)([O-])=O)O)5))=C6)),785.1571345
CPD-12822,C42H82O10P,NA,NA,NA,NA,NA,CCCCCCCCCCCCCCCCCC(=O)OCC(COP(OCC(O)CO)([O-])=O)OC(=O)CCCCCCCCCCCCCCCCC,778.5723854
CPD-18906,C17H24N8O13PS3Mo,NA,NA,NA,NA,NA,C(OP([O-])(=O)[O-])C2(C1(S[Mo](OC(N)CC(C(=O)[O-])[N+])(O)(=O)(SCC([N+])C([O-])=O)SC=1C3(=NC4(=C(N[CH](O2)3)N=C(N)NC(=O)4)))),776.9729644
CPD-18396,C42H78O10P,NA,NA,NA,NA,NA,CCCCCCC=CCCCCCCCCCC(OCC(OC(=O)CCCCCCCCCC=CCCCCCC)COP([O-])(=O)OCC(O)CO)=O,774.5410853
CPD-18398,C36H69O13P2,NA,NA,NA,NA,NA,CCCCCCCCCCCCCCCC(=O)OCC(OC(CCCCCCCCCCCCC)=O)COP([O-])(=O)OCC(O)COP([O-])(=O)[O-],774.4448154
CPD-8829,C29H17N7O11S3Cl,NA,L-ASPARTATE-OXID-MONOMER,NA,NA,NA,C5(N=C(NC4(=C(C=C(NC1(C2(C(C3(=CC=CC=C(C(C(C(=C(C=1)S([O-])(=O)=O)N)=2)=O)3))=O)))C=C4)S([O-])(=O)=O))N=C(N=5)NC6(C(=CC=CC=6)S(=O)(=O)[O-]))Cl,773.0071443
CPD0-2218,C43H82NO8P,NA,NA,NA,NA,NA,CCCCCCC1(CC1CCCCCCCCCC(OCC(COP(OCC[N+])([O-])=O)OC(=O)CCCCCCCCCC2(CC(CCCCCC)2))=O),772.5856302
CPD-18397,C36H67O13P2,NA,NA,NA,NA,NA,CCCCCCC=CCCCCCCCC(=O)OC(COC(CCCCCCCCCCCCC)=O)COP([O-])(=O)OCC(O)COP([O-])(=O)[O-],772.4291654
CPD0-1575,C29H29N6O15PS,NA,GART-MONOMER,NA,NA,NA,C(SCC(=O)N(CC2(C=C1(C(=O)NC(N)=NC1=CC=2)))C3(C=CC(C(NC(C([O-])=O)CCC(=O)[O-])=O)=CC=3))C(=O)NC4(OC(OP([O-])(=O)[O-])C(O)C(O)4),768.1462216
